,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
106,Airport West,6 Kittyhawk St,4,h,773000,S,Brad,17/09/2016,13.5,3042,5,3,4,531,309,1980,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464
108,Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,18/03/2017,13.5,3042,3,3,2,555,192,1980,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464
109,Airport West,144 Marshall Rd,3,h,715000,S,Rendina,18/03/2017,13.5,3042,3,2,2,422,126,1995,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464
112,Airport West,3/7 South Rd,3,t,540000,SP,Nelson,18/06/2016,13.5,3042,2,2,1,161,101,2010,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464
113,Airport West,37 North St,3,t,825000,SP,Barry,19/11/2016,13.5,3042,3,2,1,293,102,1960,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464
114,Airport West,10 Hilbert Rd,3,h,685000,S,Barry,22/05/2016,13.5,3042,3,1,1,579,113,1975,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464
129,Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,27/11/2016,13.5,3042,4,2,3,628,146,1975,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464
133,Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,3/9/16,3.3,3206,2,1,0,120,82,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
135,Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,4/3/17,3.3,3206,3,2,0,211,198,1890,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280
136,Albert Park,94 Graham St,3,h,1850000,S,Greg,4/3/17,3.3,3206,3,2,0,128,133,1890,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280
138,Albert Park,396 Montague St,2,h,1436000,S,RT,4/3/17,3.3,3206,2,1,0,130,81,1900,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280
142,Albert Park,104 Richardson St,4,h,2300000,S,Marshall,7/5/16,3.3,3206,4,2,1,153,180,1880,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280
145,Albert Park,1 Moubray St,3,h,1800000,VB,Greg,7/11/16,3.3,3206,3,2,1,132,159,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
147,Albert Park,29 Faussett St,2,h,2120000,S,Greg,10/9/16,3.3,3206,2,1,1,199,107,1900,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280
149,Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,10/9/16,3.3,3206,3,2,1,90,122,1900,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280
152,Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,10/12/16,3.3,3206,3,2,1,177,181,1880,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
159,Albert Park,65 Graham St,2,h,1322500,S,Greg,15/10/2016,3.3,3206,2,1,0,149,98,1890,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280
161,Albert Park,364 Montague St,2,h,1562500,S,Greg,15/10/2016,3.3,3206,2,1,0,141,83,1890,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280
162,Albert Park,86 Mills St,3,h,2000000,VB,RT,16/04/2016,3.3,3206,3,2,1,211,147,1900,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280
166,Albert Park,97 Page St,3,h,3010000,S,Greg,18/03/2017,3.3,3206,3,2,0,147,146,1890,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280
168,Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,18/06/2016,3.3,3206,4,3,1,327,254,1910,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280
172,Albert Park,55 Merton St,3,h,2100000,SP,Marshall,23/04/2016,3.3,3206,2,1,1,120,123,1900,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280
176,Albert Park,49 Page St,3,h,2000000,PI,Marshall,24/09/2016,3.3,3206,3,1,1,238,131,1890,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280
178,Albert Park,115 Page St,4,h,4735000,S,Marshall,25/02/2017,3.3,3206,4,2,1,330,207,1910,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280
183,Albert Park,27 Barrett St,4,h,2140000,S,Greg,27/06/2016,3.3,3206,3,2,1,183,145,1880,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280
186,Albert Park,6 Brooke St,2,h,980000,S,Greg,28/05/2016,3.3,3206,2,1,0,79,68,1890,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280
191,Albert Park,17 Reed St,3,h,1740000,PI,Marshall,28/08/2016,3.3,3206,3,2,2,147,134,1890,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280
193,Albert Park,9 Durham St,1,h,985000,S,Marshall,30/07/2016,3.3,3206,1,1,0,81,54,1900,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280
195,Alphington,6 Smith St,4,h,2000000,S,Brace,3/9/16,6.4,3078,3,2,4,853,263,1930,Darebin,-37.7707,145.0318,Northern Metropolitan,2211
201,Alphington,44 Shiers St,4,h,1717500,S,Collins,8/10/16,6.4,3078,4,2,1,599,203,1925,Darebin,-37.7717,145.031,Northern Metropolitan,2211
202,Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,12/6/16,6.4,3078,5,4,4,809,165,1910,Darebin,-37.775,145.0268,Northern Metropolitan,2211
204,Alphington,3/19 Harker St,2,u,525500,S,Miles,12/11/16,6.4,3078,2,1,1,88,60,1960,Darebin,-37.7791,145.0306,Northern Metropolitan,2211
205,Alphington,4/2 Miller St,2,t,805000,S,Miles,12/11/16,6.4,3078,2,2,3,155,140,2004,Darebin,-37.7804,145.0308,Northern Metropolitan,2211
214,Alphington,10 Bennett St,4,h,1830000,S,Nelson,19/11/2016,6.4,3078,4,2,2,606,112,1970,Darebin,-37.7743,145.0316,Northern Metropolitan,2211
215,Alphington,38 Bennett St,4,h,2100000,S,Nelson,19/11/2016,6.4,3078,4,2,2,575,271,2008,Darebin,-37.7723,145.0319,Northern Metropolitan,2211
216,Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,22/05/2016,6.4,3078,3,1,1,180,131,2010,Darebin,-37.7802,145.0243,Northern Metropolitan,2211
226,Alphington,11 Margaret Gr,4,h,1900000,SP,McGrath,27/11/2016,6.4,3078,4,2,2,556,272,1930,Yarra,-37.7844,145.0225,Northern Metropolitan,2211
229,Alphington,42 Shiers St,4,h,1950000,S,Jellis,30/07/2016,6.4,3078,4,2,3,589,210,1920,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
230,Altona,158 Queen St,3,h,520000,VB,Greg,3/9/16,13.8,3018,3,2,1,352,242,2015,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301
231,Altona,59 Bracken Gr,5,h,1525000,S,Greg,3/12/16,13.8,3018,5,3,3,729,268,2005,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301
232,Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,4/2/16,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301
233,Altona,4 Blyth St,3,h,1120000,S,Barlow,4/3/17,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301
235,Altona,29 Rose St,4,h,1780000,SP,Greg,4/6/16,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301
236,Altona,1/170 Blyth St,3,u,630000,S,Barlow,6/8/16,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301
238,Altona,156 Maidstone St,3,h,660000,VB,Greg,7/5/16,13.8,3018,3,1,1,602,123,1955,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301
241,Altona,1/136 Queen St,2,u,580000,S,Barlow,8/10/16,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301
242,Altona,173 Queen St,3,h,1335000,S,hockingstuart,8/10/16,13.8,3018,3,1,4,777,22,1953,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,5301
244,Altona,3/26 Grieve Pde,2,u,510000,S,Village,10/9/16,13.8,3018,2,1,1,127,76,1990,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,5301
246,Altona,4/5 Rose St,2,u,425000,S,hockingstuart,10/9/16,13.8,3018,2,1,2,115,57,1980,Hobsons Bay,-37.871,144.8185,Western Metropolitan,5301
251,Altona,24 Wren St,4,h,845000,S,hockingstuart,11/2/17,13.8,3018,4,1,2,745,130,1950,Hobsons Bay,-37.8658,144.8155,Western Metropolitan,5301
255,Altona,4/57 Blyth St,3,u,730000,SP,Barlow,13/08/2016,13.8,3018,3,2,1,69,141,2014,Hobsons Bay,-37.868,144.8286,Western Metropolitan,5301
259,Altona,3/46 Sargood St,2,u,447000,S,Burnham,15/10/2016,13.8,3018,2,1,1,137,77,1990,Hobsons Bay,-37.8655,144.8299,Western Metropolitan,5301
261,Altona,22 Fenfield St,3,h,678000,S,hockingstuart,16/04/2016,13.8,3018,3,1,2,606,87,1950,Hobsons Bay,-37.8608,144.8124,Western Metropolitan,5301
262,Altona,5/8 David St,2,u,580000,PI,Biggin,16/07/2016,13.8,3018,2,2,1,175,76,2013,Hobsons Bay,-37.8687,144.8268,Western Metropolitan,5301
264,Altona,27 McIntyre Dr,3,h,840000,SP,Greg,18/03/2017,13.8,3018,3,2,2,534,136,1965,Hobsons Bay,-37.86,144.8245,Western Metropolitan,5301
269,Altona,3/20 Mulga St,3,u,577000,S,Williams,23/04/2016,13.8,3018,3,2,1,205,113,2007,Hobsons Bay,-37.8684,144.815,Western Metropolitan,5301
276,Altona,104 Maidstone St,2,h,857000,SP,hockingstuart,27/11/2016,13.8,3018,2,2,1,675,100,1950,Hobsons Bay,-37.8653,144.8129,Western Metropolitan,5301
278,Altona,5/57 Blyth St,3,u,730000,SP,Barlow,28/05/2016,13.8,3018,3,2,1,70,3,2014,Hobsons Bay,-37.868,144.8285,Western Metropolitan,5301
282,Altona,2/60 David St,2,h,535600,SP,Compton,30/07/2016,13.8,3018,2,1,1,154,91,1996,Hobsons Bay,-37.8646,144.8272,Western Metropolitan,5301
284,Altona North,45 Hearn St,5,h,1085000,S,FN,3/9/16,11.1,3025,5,3,6,592,251,1965,Hobsons Bay,-37.8388,144.8567,Western Metropolitan,5132
285,Altona North,4 Knapp St,3,h,781000,S,Jas,3/9/16,11.1,3025,3,1,2,533,117,1970,Hobsons Bay,-37.8291,144.835,Western Metropolitan,5132
289,Altona North,3/66 Marion St,2,t,421000,S,hockingstuart,4/3/17,11.1,3025,2,1,1,77,77,2009,Hobsons Bay,-37.8351,144.8529,Western Metropolitan,5132
292,Altona North,33 Carthy St,3,h,683000,S,FN,4/6/16,11.1,3025,3,1,2,534,167,1967,Hobsons Bay,-37.8284,144.8355,Western Metropolitan,5132
299,Altona North,1/95 Mills St,3,h,588000,S,Williams,7/5/16,11.1,3025,3,1,1,328,118,1970,Hobsons Bay,-37.838,144.8555,Western Metropolitan,5132
301,Altona North,5 Binns St,3,h,710000,PI,Village,7/11/16,11.1,3025,3,1,3,540,116,1960,Hobsons Bay,-37.8294,144.8378,Western Metropolitan,5132
306,Altona North,25 Allan St,4,h,875000,SP,Jas,8/10/16,11.1,3025,3,1,4,559,169,1965,Hobsons Bay,-37.8448,144.8529,Western Metropolitan,5132
321,Altona North,2/36 May St,3,h,675000,S,hockingstuart,14/05/2016,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,-37.8337,144.8554,Western Metropolitan,5132
322,Altona North,11 Beevers St,3,h,708000,S,Greg,15/10/2016,11.1,3025,3,1,2,585,97,1960,Hobsons Bay,-37.8258,144.8523,Western Metropolitan,5132
339,Altona North,252 Millers Rd,4,h,693000,SP,Raine&Horne,22/05/2016,11.1,3025,4,2,4,315,170,2008,Hobsons Bay,-37.8391,144.8467,Western Metropolitan,5132
340,Altona North,1/156 Chambers Rd,3,h,620000,SP,Hunter,22/08/2016,11.1,3025,5,2,2,276,100,2010,Hobsons Bay,-37.8262,144.8443,Western Metropolitan,5132
342,Altona North,2 Gadsden St,3,h,728500,S,Jas,22/08/2016,11.1,3025,3,1,1,531,157,1960,Hobsons Bay,-37.8277,144.8385,Western Metropolitan,5132
343,Altona North,24 Hansen St,3,h,931000,S,hockingstuart,22/08/2016,11.1,3025,3,2,1,590,160,1950,Hobsons Bay,-37.8382,144.8649,Western Metropolitan,5132
349,Altona North,6 Hill St,3,h,815000,S,hockingstuart,25/02/2017,11.1,3025,3,2,3,555,130,1960,Hobsons Bay,-37.8318,144.8388,Western Metropolitan,5132
356,Altona North,5 Cresser St,4,h,1200000,SP,RT,27/11/2016,11.1,3025,4,1,4,633,158,1960,Hobsons Bay,-37.8375,144.8541,Western Metropolitan,5132
361,Altona North,4/221 Blackshaws Rd,2,u,292000,S,Jas,28/08/2016,11.1,3025,2,1,1,153,70,1970,Hobsons Bay,-37.8332,144.8649,Western Metropolitan,5132
368,Armadale,4/769 High St,3,t,1205000,S,Jellis,3/12/16,6.3,3143,3,2,2,101,105,2000,Stonnington,-37.854,145.0135,Southern Metropolitan,4836
371,Armadale,7 Llaneast St,3,h,1939000,S,Jellis,3/12/16,6.3,3143,3,2,2,296,150,1889,Stonnington,-37.8614,145.0274,Southern Metropolitan,4836
375,Armadale,28 Cambridge St,3,h,1870000,S,Hodges,4/3/17,6.3,3143,3,1,1,217,116,1888,Stonnington,-37.8592,145.0182,Southern Metropolitan,4836
383,Armadale,12 Willis St,3,h,2050000,S,Marshall,4/3/17,6.3,3143,3,2,1,205,116,1910,Stonnington,-37.8574,145.0281,Southern Metropolitan,4836
392,Armadale,9/19 Mercer Rd,3,u,735000,PI,Marshall,7/5/16,6.3,3143,3,2,1,2113,14,1970,Stonnington,-37.8543,145.0262,Southern Metropolitan,4836
400,Armadale,10 William St,1,h,1435000,SP,Jellis,8/10/16,6.3,3143,2,2,1,144,107,1900,Stonnington,-37.8564,145.0228,Southern Metropolitan,4836
409,Armadale,40 New St,2,h,1210000,S,Marshall,12/11/16,6.3,3143,2,1,0,249,96,1910,Stonnington,-37.8543,145.016,Southern Metropolitan,4836
410,Armadale,35 Northcote Rd,4,h,2801000,S,Marshall,12/11/16,6.3,3143,4,2,2,624,222,1900,Stonnington,-37.8536,145.0173,Southern Metropolitan,4836
416,Armadale,791 High St,3,h,1800000,PI,RT,15/10/2016,6.3,3143,3,2,2,405,121,1910,Stonnington,-37.8545,145.0145,Southern Metropolitan,4836
418,Armadale,25 Llaneast St,4,h,2200000,PI,Jellis,15/10/2016,6.3,3143,4,1,2,495,163,1900,Stonnington,-37.8613,145.0264,Southern Metropolitan,4836
426,Armadale,367 Dandenong Rd,6,h,5525000,S,Marshall,17/09/2016,6.3,3143,5,3,4,1491,516,1935,Stonnington,-37.8602,145.013,Southern Metropolitan,4836
438,Armadale,14 New St,3,h,1300000,VB,Jellis,18/06/2016,6.3,3143,2,1,2,212,106,1900,Stonnington,-37.8542,145.0149,Southern Metropolitan,4836
445,Armadale,63 Denbigh Rd,3,h,1900000,S,Marshall,22/05/2016,6.3,3143,3,1,2,328,108,1900,Stonnington,-37.8559,145.0158,Southern Metropolitan,4836
453,Armadale,10/51 Armadale St,2,u,710000,S,Jellis,25/02/2017,6.3,3143,2,1,1,2471,80,1970,Stonnington,-37.8573,145.0186,Southern Metropolitan,4836
457,Armadale,75 Sutherland Rd,3,h,1285000,S,Marshall,25/02/2017,6.3,3143,3,1,2,186,80,1920,Stonnington,-37.8554,145.0173,Southern Metropolitan,4836
465,Armadale,44 Denbigh Rd,4,h,3625000,S,Jellis,27/11/2016,6.3,3143,4,1,2,709,251,1900,Stonnington,-37.8574,145.016,Southern Metropolitan,4836
466,Armadale,44 Hampden Rd,4,h,4200000,VB,Kay,27/11/2016,6.3,3143,4,3,3,563,333,2000,Stonnington,-37.8582,145.0138,Southern Metropolitan,4836
467,Armadale,3/769 High St,3,t,1101000,S,Jellis,27/11/2016,6.3,3143,3,1,2,103,3,2000,Stonnington,-37.8542,145.0135,Southern Metropolitan,4836
468,Armadale,4 Mercer Rd,3,h,3512500,S,Marshall,27/11/2016,6.3,3143,3,2,2,617,285,1998,Stonnington,-37.8557,145.0264,Southern Metropolitan,4836
486,Ascot Vale,30 Rothwell St,3,h,940000,S,Nelson,3/12/16,5.9,3032,3,1,2,298,108,1920,Moonee Valley,-37.7777,144.9195,Western Metropolitan,6567
490,Ascot Vale,7 Francis St,3,h,1380000,SP,Nelson,4/3/17,5.9,3032,3,2,2,277,174,1910,Moonee Valley,-37.7777,144.9221,Western Metropolitan,6567
491,Ascot Vale,2/21 Harold St,2,u,490000,VB,Jellis,4/3/17,5.9,3032,2,1,1,423,62,1970,Moonee Valley,-37.7736,144.9015,Western Metropolitan,6567
492,Ascot Vale,44 The Parade,4,h,1850000,S,Brad,4/3/17,5.9,3032,4,3,1,478,270,1900,Moonee Valley,-37.7729,144.9179,Western Metropolitan,6567
494,Ascot Vale,98 Epsom Rd,3,h,971000,SP,Nelson,4/6/16,5.9,3032,3,2,2,285,128,1900,Moonee Valley,-37.775,144.9091,Western Metropolitan,6567
495,Ascot Vale,8 Geddes St,2,h,710000,PI,Nelson,4/6/16,5.9,3032,2,1,1,214,77,1890,Moonee Valley,-37.7776,144.9142,Western Metropolitan,6567
496,Ascot Vale,75 Maribyrnong Rd,6,h,2425000,PI,Brad,4/6/16,5.9,3032,6,3,2,1014,435,1887,Moonee Valley,-37.7721,144.9184,Western Metropolitan,6567
497,Ascot Vale,119 Roseberry St,2,h,750000,SP,Maddison,4/6/16,5.9,3032,2,1,1,226,92,1920,Moonee Valley,-37.7745,144.9093,Western Metropolitan,6567
499,Ascot Vale,10 Fenton St,2,h,1053000,S,Nelson,6/8/16,5.9,3032,2,1,1,269,109,1900,Moonee Valley,-37.7748,144.929,Western Metropolitan,6567
500,Ascot Vale,10 McCully St,3,h,1377000,S,Nelson,6/8/16,5.9,3032,3,1,1,417,168,1900,Moonee Valley,-37.7756,144.9208,Western Metropolitan,6567
501,Ascot Vale,120 Epsom Rd,3,h,970000,S,Brad,7/5/16,5.9,3032,3,1,2,350,125,1904,Moonee Valley,-37.7759,144.91,Western Metropolitan,6567
503,Ascot Vale,63 Kent St,2,h,751000,PI,Nelson,7/5/16,5.9,3032,2,1,1,118,79,1890,Moonee Valley,-37.7807,144.9288,Western Metropolitan,6567
504,Ascot Vale,4 The Parade,2,h,950000,SP,Raine,7/5/16,5.9,3032,2,1,1,173,102,1900,Moonee Valley,-37.7731,144.9206,Western Metropolitan,6567
506,Ascot Vale,1/17 Epsom Rd,2,u,685000,S,Brad,7/11/16,5.9,3032,2,1,2,228,90,1995,Moonee Valley,-37.7718,144.9066,Western Metropolitan,6567
508,Ascot Vale,41 Monash St,3,h,1230000,S,Nelson,8/10/16,5.9,3032,4,1,2,594,148,1960,Moonee Valley,-37.7819,144.9064,Western Metropolitan,6567
512,Ascot Vale,51 Francis St,2,h,770000,PI,Nelson,10/9/16,5.9,3032,2,1,1,226,87,1900,Moonee Valley,-37.7774,144.9186,Western Metropolitan,6567
515,Ascot Vale,12 Mirams St,4,h,890000,SP,Raine,10/12/16,5.9,3032,4,1,1,300,185,1890,Moonee Valley,-37.7766,144.9143,Western Metropolitan,6567
519,Ascot Vale,78 The Parade,3,h,1440000,S,Nelson,11/2/17,5.9,3032,3,1,1,487,131,1900,Moonee Valley,-37.7725,144.9146,Western Metropolitan,6567
525,Ascot Vale,26 Newsom St,3,h,1000000,PI,Brad,12/11/16,5.9,3032,3,2,2,440,120,1955,Moonee Valley,-37.7746,144.9031,Western Metropolitan,6567
526,Ascot Vale,8 Pentland St,3,h,1435000,S,Nelson,12/11/16,5.9,3032,3,2,2,532,147,1950,Moonee Valley,-37.7737,144.904,Western Metropolitan,6567
528,Ascot Vale,52 Monash St,3,h,1425000,PI,Jellis,13/08/2016,5.9,3032,3,2,2,495,139,1920,Moonee Valley,-37.7821,144.9055,Western Metropolitan,6567
530,Ascot Vale,58 Fenton St,4,h,1340000,S,Nelson,14/05/2016,5.9,3032,3,2,2,683,232,1978,Moonee Valley,-37.775,144.932,Western Metropolitan,6567
531,Ascot Vale,70 Munro St,3,h,955000,S,Brad,14/05/2016,5.9,3032,3,1,1,263,117,1910,Moonee Valley,-37.7753,144.9116,Western Metropolitan,6567
533,Ascot Vale,125 Epsom Rd,4,h,1100000,VB,Nelson,15/10/2016,5.9,3032,4,2,5,559,195,1920,Moonee Valley,-37.7791,144.9136,Western Metropolitan,6567
537,Ascot Vale,7 Angler Pde,4,h,1640000,S,Raine,16/04/2016,5.9,3032,4,3,2,562,204,1890,Moonee Valley,-37.782,144.903,Western Metropolitan,6567
538,Ascot Vale,26 Ayr St,6,h,1430000,S,Nelson,16/04/2016,5.9,3032,4,2,1,461,286,1900,Moonee Valley,-37.78,144.9295,Western Metropolitan,6567
